,内容,评分,评价,不足之处,论文选题,文献综述,论文水平,论文写作,对论文熟悉程度
0,论文对车联网背景下的毫米波的波束选择和功率分配展开研究，选题具有很强的应用背景，同时也有很高的理论价值。 论文首先对多毫米波基站波束联合选择的方法进行了探索。以Q-Learing算法为基础，提出多毫米波基站波束联合选择中的协调方法:并提出MARL-BS算法，提升系统吞吐量。进一步，论文提出波束功率分配策略。最终组合为一种多毫米波基站波束选择和功率分配联合优化的JBSPA算法。并对所提算法进行了仿真验证。 论文所提算法具有一定的新意。 论文逻辑清晰，写作规范。,90,优秀,但论文存在如下的不足： （1）论文格式还有部分不规范之处。如参考文献1未标注页码。 （2）论文的仿真实验有进一步补充的空间，特别是对国内交通场景下所提算法性能的仿真。具体而言，论文建议补充如下场景的仿真结果：（a）当城市道路拥挤时，车辆缓慢挪动。（b）高速公路上，车流量大但移动速度很高。 （3）论文4.6所提算法第6步，针对拉格朗日乘子收敛性问题，建议补充相关理论说明或仿真实验,优秀,优秀,优秀,优秀,熟悉
1,论文围绕车辆网络通信展开研究，具有较好的理论意义和实用价值。作者在个绍相关理论技术的基础上，通过修改 Q-learning 算法来协调毫米波基站之间重叠波束的同时选择问题，修改 CUCB 算法来解决单毫米波基站选择波束集合时遇到的“探索-利用”困境，提出基于多智能体强化学习的波束联合选择策略。继而，提出基于 KKT 条件的波束功率分配策略，联合考虑波束选择和功率分配对系统吞吐量的影响，提出优化策略。论文写作逻辑清晰、合理。,85,良好,建议适当阐述实验模拟场景中，相关参数数值设定的依据。,优秀,良好,良好,良好,熟悉
2,作者在论文中比较全面地查阅了毫米波车辆网络中的波速选择和功率分配相关的研究资料，分析相关技术和算法的研究现状，提出了基于KKT条件的波速功率分配策略，对算法进行了仿真研究，并对数据进行了比较详尽的分析。 论文结构合理，图表清晰，语法通顺，符合硕士学位研究生论文的要求。 论文表明，作者在所研究的领域掌握了比较全面的专业知识。 建议参加硕士学位论文答辩。,88,良好,建议：论文中尽量不要使用“我”、“我们”之类的词语。,良好,良好,良好,良好,熟悉
3,作者提出了一种基于原型网络的少样本关系抽取方法。方法利用混合注意力机制来刻画支持集实例之间以及支持集实例和查询集实例之间的交瓦，并通过在实例嵌入中增加头尾实体嵌入来丰富实例表示。作者还提出了一种基于两阶段原型相似性度量的少样本开放域关系抽取方法，通过度量新实例与初始实例原型的距离不断获取新关系的新实例。通过与基线模型的比较，验证了方法的有效性。通过消融实验，验证了各模块的必要性。,85,良好,建议： 1. 在国内外研究现状一节，增加与利用少样本学习进行关系抽取的其他方法的比较。通过比较说明所提出方法的创新性。在与同类工作的对比实验中，缺乏与某些工作的比较，如[43][45][48]，且未说明理由。 2. 从文中看，第三章所提出的方法，尽管从实验结果上看超过了部分基线方法，但从模型结构上看，仅仅是组合了不同注意力机制（支持集实例间、支持集实例与查询实例间），在实例嵌入中增加了头尾实体嵌入等，理论创新不足。 3. 对于作者认为类匹配模块没有标签泄露，建议增加 训练阶段是否提前看到查询实例 的消融实验，以检验该论断。,良好,良好,良好,优秀,熟悉
4,鉴于数据标注和获取的成本，低资源的关系抽取是目前关系抽取中的一个重要研究课题。 为提高少样本关系抽取的准确率，论文提出附加实体感知嵌入模块抽取实体表示信息，并将该信息融入基于原型注意力网络完成少样本关系抽取。论文的创新点主要如下: 首先，该方法利用实体感知模块实现实例中与实体相关的单词优化实例的表示，并在关系抽取中应用了混合注意力机制。 其次，论文提出两阶段原型相似性度量的少样本开放域关系抽取模型，通过基于原型的关系李生网络和两阶段学习不断发现更多实例。 论文实验描述清晰，数据详实。,86,良好,1、论文内容描述需要进行进一步调整，确保语言更加通顺。 2、建议论文加入和最新的对比学习方法作为基线进行比较，因为对比学习是提升类内和类间差异。3、图3-2中多一个“化”字。,优秀,优秀,良好,优秀,很熟悉
5,论文针对少样本的关系抽取问题展开研究，主要解决关系抽取中的长尾关系问题和开放城中的新关系抽取。所做工作及成果包括:(1) 在基于原型注意力网络的少样本关系抽取模型中，引入了加实体感知嵌入模块，并通过实验对比，验证了其在提高少样本关系抽取的准确率上的有效性。(2) 针对开放城关系抽取的中的关系增长问题，提出了两阶段原型相似性度量方法，以计算新关系的聚合，并通过实验验证了其有效性。 论文结构合理，逻辑性强，行文规范，内容充实准确。论文工作饱满，实验方案合理，所用图表数据等，确为其实验所得，真实可信。,92,优秀,（1）所对比工作，主要为19年的，缺少与20年相关工作的对比。 （2）从实验设置中看，样本规模采用固定规模。建议还可做不同样本规模下的算法性能测试。,优秀,良好,良好,优秀,很熟悉
6,"论文针对远场环境中声纹识别进行研究，论文选题具有一定的理论价值和实用价值。 论文主要工作包括:1)提出基于说话人损失与增强损失的多任务联合训练模型，实验表明该模型可降低平均等错误率。2)采用信道维度特征拼接、基于压缩激活单元的频率注意力机制、多损失分区优化等策略对联合训练模型优化，并验证了优化的有效性。 ""论文表明作者掌握本学科的相关基础理论，具有较强的相关领域的分析、设计和实践能力。论文结构合理，条理清晰，语言流畅，实验分析比较合理，论文达到了硕士研究生学位论文的要求。",92,优秀,不足之处： 1） 论文对国内外相关研究综述不够深入和全面，缺少顶会论文文献。 2） 参考文献27包含两篇文章。 3） 建议增加MinDCF等指标更加全面评测远场声纹识别系统的性能。,优秀,一般,良好,优秀,熟悉
7,"本文作者对基于特征增强的远场声纹识别进行研究，主要贡献包括两个方面1、基于说话人损失与增强损失的多任务联合训练模型:在声纹识别模型中引入基于掩蔽的特征增强，使用说话人损失更新特征增强网络，表明了多任务学习的有效性;并进一步采用多任务联合训练的方法提升性能: 2、基于信道维度特征拼接与分区优化策略的联合训练模型:其一是将原始输入特征与增强网络输出的增强特征在信道维度进行拼接，减少增强损失导致的语音失真对声纹识别结果的影响:其二是采用分区优化策略来解决增强损失 MSE 与说话人分类损失 A-Softmax存在的冲突,说话人损失更新特征增强网络的压缩-激活单元与声纹识别网络，而增强损失更新其他特征增强网络部分。 多任务学习、联合训练已有相关研究，信道维度特征拼接方法简单但是有效，分区优化策略属于一种创新性方法。文章逻辑清楚，有明确承接关系，仿真实验结果证明了方法的有效性，但真实场景的实验不够完整，方法在实际场景应用的鲁棒性有待进一步验证。",87,良好,文章4.2.3.4提供了在真实远场声纹数据库 VOiCES2019 实验，但是对比实验的结果不完整，建议和在模拟远场声纹的实验保持一致，即补充Joint SE、Joint A. 、Joint CFC的实验结果； 建议与现有鲁棒的说话人识别方法进行实验对比，比如参考文献[27]的方法，因为在实验设置上，本文与参考文献[27]相似； 存在文章书写错误，比如参考文献[27]引用不正确，与参考文献[28]混淆，建议检查文章的书写是否存在疏漏。,良好,优秀,良好,良好,熟悉
8,声纹识别技术是智能语音识别技术的重要方向和热点之一，与其他生物特征识别技术相比，具有低成本优势。本论文以典型背景噪声下声纹识别技术的改进以及实现为选题，具有实际应用价值。 本论文对于声纹识别技术的发展及现状进行了较为全面系统的概述与分析比较。采用语谱图作为语音前端特征，能够涵盖前向与后向信息的双向长短时记忆网络BiLSTM作为特征增强网络，残差神经网络作为识别模型，等错误率EER为评价指标，实现声纹辨认。 本论文的主要创新点为:联合使用增强损失 (MSE 损失)与说话人损失 (Asoftmax 损失)对特征增强网络做约束，以获得更为纯净且保留说话人信息的增强特征。联合使用中，采用原始输入特征与增强网络输出的增强特征在信道维度进行拼接，减低说话人信息损失，同时去除噪声保留学习增强特征的纯净特征信息，针对说话人损失与增强损失收敛速度、数量级以及梯度方向不同在联合使用更新同一网络结构时导致的冲突采用分区优化解决。模拟仿真实验结果表明:平均 FER 中 12.42%降低到 11.63%，性能相对提升 6.63%论文内容完整，技术路线论述清晰合理，有仿真实验结果。反映了论文作者相关理论基础以及分析解决问题的能力达到硕士论文要求。,83,良好,不足：文本有一些错别字（用红色背景标示），行文不够顺畅。作为硕士论文，工作量略显不足。文末已发表论文的格式不规范。 可以考虑将该论文的改进结果与其他已发表的结果做比对。另外，取样样本量有限，噪声类型有限，在结论中应该明确前提，或者有定性定量分析该联合方法的适用条件。,良好,良好,良好,良好,一般
9,本文围绕多脉冲学习算法这一主题， 提出一个简化的神经元模型和两种高效的多脉冲学习算法。通过脉冲函数模拟突触电流输入和放电输出对膜电位的影响，引入简化的脉冲神经元模型，并基于此，提出两种改进的高效鲁棒多脉冲学习算法。在一些典型任务上评估了学习算法的性能。整个研究体系完整，写作规范，逻辑清晰，达到硕士论文的要求,93,优秀,1，图2-4不清晰，特别是坐标； 2， 图4-1 需要对各个曲线的中文说明。 3 ，建议适度增加深层神经网络的算法讨论。,优秀,优秀,优秀,优秀,熟悉
